rank,profile_url,name,title,registration_date,last_active,active_projects,portfolio_count,employment_rate,received_projects,financial_deals,completion_rate,ontime_delivery_rate,rehire_rate,communication_success_rate,total_completed_projects,avg_response_time_raw,avg_response_time_minutes,skills,skills_count,success_score,skills_str,registration_date_str
36,https://mostaql.com/u/Saradadi21,Sara B.,كاتب محتوى,2021-07-17T00:00:00,منذ دقيقة,0.0,3.0,0.0,0.0,0.0,100.0,100.0,0.0,4.72,5.0,ساعة و 28 دقيقة,88.0,"[""كتابة مقالات"", ""الكتابة الأكاديمية"", ""كتابة الأعمال"", ""كتابة الشعارات"", ""البحث والتطوير"", ""تحرير المحتوى"", ""تنسيق النصوص"", ""كتابة خطاب"", ""تأليف كتاب"", ""الكتابة التقنية""]",10.0,67.71,"كتابة مقالات, الكتابة الأكاديمية, كتابة الأعمال, كتابة الشعارات, البحث والتطوير, تحرير المحتوى, تنسيق النصوص, كتابة خطاب, تأليف كتاب, الكتابة التقنية",2021-07-17T00:00:00
37,https://mostaql.com/u/duaaatia,Doaa A.,مصمم UI UX,2025-02-06T00:00:00,منذ دقيقة,0.0,10.0,0.0,0.0,0.0,90.91,80.0,28.57,30.77,10.0,ساعتين و 24 دقيقة,144.0,"[""Figma"", ""Adobe Illustrator"", ""adobe xd"", ""تصميم موقع إلكتروني"", ""فوتوشوب"", ""تصميم شعار"", ""تصميم جرافيك"", ""التصميم الإبداعي""]",8.0,67.52,"Figma, Adobe Illustrator, adobe xd, تصميم موقع إلكتروني, فوتوشوب, تصميم شعار, تصميم جرافيك, التصميم الإبداعي",2025-02-06T00:00:00
38,https://mostaql.com/u/abdelsal44848,عبدالسلام ط.,مصمم جرافيك,2022-10-14T00:00:00,منذ دقيقة,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,11.11,4.0,ساعتين و 15 دقيقة,135.0,"[""تصميم شعار"", ""فوتوشوب"", ""تصميم جرافيك"", ""تصميم إعلان"", ""Front End"", ""إنشاء موقع إلكتروني"", ""إدارة علاقات العملاء"", ""إدارة المبيعات"", ""تعديل الصور""]",9.0,67.47,"تصميم شعار, فوتوشوب, تصميم جرافيك, تصميم إعلان, Front End, إنشاء موقع إلكتروني, إدارة علاقات العملاء, إدارة المبيعات, تعديل الصور",2022-10-14T00:00:00
39,https://mostaql.com/u/ahmedzaki22,Ahmed Z.,مصمم جرافيك,2022-08-26T00:00:00,منذ دقيقة,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,22.22,3.0,ساعة و 32 دقيقة,92.0,"[""تصميم هوية تجارية"", ""تصميم ملصقات المنتجات"", ""تصميم بنرات"", ""الفكرة التصميمية"", ""تصميم شعار"", ""التصميم الإبداعي"", ""فوتوشوب""]",7.0,67.45,"تصميم هوية تجارية, تصميم ملصقات المنتجات, تصميم بنرات, الفكرة التصميمية, تصميم شعار, التصميم الإبداعي, فوتوشوب",2022-08-26T00:00:00
40,https://mostaql.com/u/gemi98s,Gamal B.,مصمم جرافيك,2018-10-09T00:00:00,منذ دقيقة,0.0,19.0,0.0,0.0,0.0,100.0,100.0,0.0,21.43,3.0,3 ساعات و 11 دقيقة,191.0,"[""كتابة إعلان"", ""إعادة صياغة المحتوى"", ""تصميم بنرات"", ""تصميم جرافيك"", ""تصميم ملصقات المنتجات"", ""تصميم إعلان"", ""تصميم دعوات"", ""تصميم بوسترات"", ""فوتوشوب"", ""تصميم 3D""]",10.0,67.38,"كتابة إعلان, إعادة صياغة المحتوى, تصميم بنرات, تصميم جرافيك, تصميم ملصقات المنتجات, تصميم إعلان, تصميم دعوات, تصميم بوسترات, فوتوشوب, تصميم 3D",2018-10-09T00:00:00
41,https://mostaql.com/u/eslam_abdalgwad,اسلام ع.,محاسب,2024-11-08T00:00:00,منذ دقيقة,0.0,10.0,0.0,0.0,0.0,93.33,85.71,0.0,24.19,14.0,5 ساعات و 31 دقيقة,331.0,"[""محاسبة تكاليف"", ""مايكروسوفت إكسل"", ""ضبط الحسابات"", ""تخطيط موارد المؤسسات ERP"", ""تدقيق حسابات"", ""محاسبة"", ""محاسبة الضرائب"", ""سلة""]",8.0,67.1,"محاسبة تكاليف, مايكروسوفت إكسل, ضبط الحسابات, تخطيط موارد المؤسسات ERP, تدقيق حسابات, محاسبة, محاسبة الضرائب, سلة",2024-11-08T00:00:00
42,https://mostaql.com/u/hehsam_mosaad,Hesham M.,مطور Full Stack,2025-12-11T00:00:00,منذ دقيقة,0.0,7.0,0.0,0.0,0.0,100.0,100.0,0.0,50.0,1.0,دقيقة,1.0,"[""web scraping"", ""بايثون"", ""CSS"", ""Angular.js"", ""ASP.NET"", ""HTML"", ""جافا سكريبت"", ""ASP.NET MVC"", ""Back End"", ""ASP.NET Core""]",10.0,66.83,"web scraping, بايثون, CSS, Angular.js, ASP.NET, HTML, جافا سكريبت, ASP.NET MVC, Back End, ASP.NET Core",2025-12-11T00:00:00
43,https://mostaql.com/u/Youssef_Ramchi,Youssef R.,مصمم UI UX,2022-08-11T00:00:00,منذ دقيقة,0.0,16.0,0.0,0.0,0.0,100.0,100.0,0.0,28.57,2.0,4 ساعات و 24 دقيقة,264.0,"[""تصميم موقع إلكتروني"", ""تصميم تطبيقات"", ""تصميم UI UX"", ""تصميم واجهة المستخدم"", ""تصميم تجربة المستخدم""]",5.0,66.78,"تصميم موقع إلكتروني, تصميم تطبيقات, تصميم UI UX, تصميم واجهة المستخدم, تصميم تجربة المستخدم",2022-08-11T00:00:00
44,https://mostaql.com/u/SaleenAlmahmoud,Souad A.,مدير مشاريع,2015-10-22T00:00:00,منذ دقيقة,0.0,4.0,0.0,0.0,0.0,94.23,40.82,30.77,48.15,49.0,10 ساعات و 44 دقيقة,644.0,"[""إدارة المواقع"", ""إدارة المشاريع"", ""كتابة مقالات"", ""الترجمة"", ""التدوين"", ""تطوير البرمجيات"", ""أنظمة إدارة المحتوى"", ""تطوير المدونات""]",8.0,66.73,"إدارة المواقع, إدارة المشاريع, كتابة مقالات, الترجمة, التدوين, تطوير البرمجيات, أنظمة إدارة المحتوى, تطوير المدونات",2015-10-22T00:00:00
45,https://mostaql.com/u/Sally_Mahmoud,Sally M.,مهندس صوت,2023-06-02T00:00:00,منذ دقيقة,0.0,3.0,0.0,0.0,0.0,83.33,100.0,25.0,27.27,5.0,6 ساعات و 3 دقائق,363.0,"[""هندسة الصوت"", ""تعديل الصوت"", ""تصميم الصوت"", ""اللغة العربية"", ""الإنتاج الصوتي"", ""مكساج"", ""مونتاج فيديو""]",7.0,66.67,"هندسة الصوت, تعديل الصوت, تصميم الصوت, اللغة العربية, الإنتاج الصوتي, مكساج, مونتاج فيديو",2023-06-02T00:00:00
46,https://mostaql.com/u/anas_n_ahmed,Anas N.,مطور Full Stack,2022-06-21T00:00:00,منذ دقيقة,0.0,8.0,0.0,0.0,0.0,100.0,100.0,0.0,25.0,2.0,8 ساعات و 55 دقيقة,535.0,"[""استخراج البيانات"", ""تطوير قاعدة بيانات"", ""بايثون"", ""SQL"", ""برمجة قواعد البيانات"", ""تحليل البيانات"", ""Back End"", ""Restful API"", ""تطوير الويب الكامل"", ""لارافيل""]",10.0,66.49,"استخراج البيانات, تطوير قاعدة بيانات, بايثون, SQL, برمجة قواعد البيانات, تحليل البيانات, Back End, Restful API, تطوير الويب الكامل, لارافيل",2022-06-21T00:00:00
47,https://mostaql.com/u/archkhalid8,خالد أ.,مهندس معماري,2020-01-04T00:00:00,منذ دقيقة,6.0,24.0,0.0,0.0,0.0,98.18,32.41,12.05,42.24,108.0,ساعة و 22 دقيقة,82.0,"[""Corona Render"", ""3ds Max"", ""فيراي"", ""لوميون"", ""تصميم معماري"", ""تصميم ديكور"", ""تصميم منزل"", ""تصميم داخلي"", ""تصميم 3D"", ""إظهار معماري"", ""تصميم مخططات معمارية"", ""أوتوكاد""]",12.0,66.48,"Corona Render, 3ds Max, فيراي, لوميون, تصميم معماري, تصميم ديكور, تصميم منزل, تصميم داخلي, تصميم 3D, إظهار معماري, تصميم مخططات معمارية, أوتوكاد",2020-01-04T00:00:00
48,https://mostaql.com/u/meloai_512,Mohamed L.,مهندس برمجيات,2025-02-15T00:00:00,منذ دقيقة,0.0,5.0,0.0,0.0,0.0,100.0,100.0,0.0,18.18,2.0,9 دقائق,9.0,"[""Restful API"", ""Django"", ""html5"", ""Docker"", ""React"", ""node.js"", ""CSS3"", ""PostgreSQL"", ""اللغة الإنجليزية"", ""نظام لينكس""]",10.0,65.95,"Restful API, Django, html5, Docker, React, node.js, CSS3, PostgreSQL, اللغة الإنجليزية, نظام لينكس",2025-02-15T00:00:00
49,https://mostaql.com/u/MazenZayed99,مازن م.,مهندس برمجيات,2025-04-03T00:00:00,منذ دقيقة,0.0,8.0,0.0,0.0,0.0,100.0,100.0,0.0,18.18,2.0,ساعة و دقيقة,61.0,"[""jQuery"", ""Redux"", ""html5"", ""Tailwind CSS"", ""Front End"", ""Bootstrap4"", ""React"", ""جافا سكريبت"", ""تصميم موقع إلكتروني"", ""تحويل تصميم من PSD إلى HTML""]",10.0,65.95,"jQuery, Redux, html5, Tailwind CSS, Front End, Bootstrap4, React, جافا سكريبت, تصميم موقع إلكتروني, تحويل تصميم من PSD إلى HTML",2025-04-03T00:00:00
50,https://mostaql.com/u/fakhry_alnafar,فخري ا.,مصمم موشن جرافيك,2022-10-02T00:00:00,منذ دقيقة,0.0,20.0,0.0,0.0,0.0,77.78,100.0,16.67,39.13,7.0,32 دقيقة,32.0,"[""إدخال بيانات"", ""خدمة العملاء"", ""مايكروسوفت إكسل"", ""تصميمات سوشيال ميديا"", ""باوربوينت"", ""تصميم"", ""ريادة الأعمال"", ""تصميم شعار"", ""الإعلان"", ""Adobe Illustrator""]",10.0,65.86,"إدخال بيانات, خدمة العملاء, مايكروسوفت إكسل, تصميمات سوشيال ميديا, باوربوينت, تصميم, ريادة الأعمال, تصميم شعار, الإعلان, Adobe Illustrator",2022-10-02T00:00:00
51,https://mostaql.com/u/Mhamadmeouche,Mohamad M.,موسيقى تصويرية,2022-02-05T00:00:00,منذ دقيقة,2.0,3.0,0.0,0.0,0.0,92.31,58.33,14.29,30.15,36.0,ساعة و 46 دقيقة,106.0,"[""Pro Tools"", ""تصميم إعلان"", ""التصميم الإبداعي"", ""التعليق الصوتي"", ""الموسيقى"", ""هندسة الصوت"", ""الأداء الصوتي""]",7.0,65.79,"Pro Tools, تصميم إعلان, التصميم الإبداعي, التعليق الصوتي, الموسيقى, هندسة الصوت, الأداء الصوتي",2022-02-05T00:00:00
52,https://mostaql.com/u/salsabelalnazly,سلسبيل ا.,مسوق رقمي,2023-08-02T00:00:00,منذ دقيقة,0.0,5.0,0.0,0.0,0.0,100.0,100.0,0.0,14.29,2.0,يومين و ساعتين,3000.0,"[""إدخال بيانات"", ""خدمة العملاء"", ""إدارة حسابات التواصل الاجتماعي"", ""كتابة المحتوى"", ""خطة تسويقية"", ""إعلانات ممولة"", ""إنتاج الفيديو"", ""التسويق عبر الإنترنت"", ""التسويق الإلكتروني"", ""إعلانات جوجل""]",10.0,65.64,"إدخال بيانات, خدمة العملاء, إدارة حسابات التواصل الاجتماعي, كتابة المحتوى, خطة تسويقية, إعلانات ممولة, إنتاج الفيديو, التسويق عبر الإنترنت, التسويق الإلكتروني, إعلانات جوجل",2023-08-02T00:00:00
53,https://mostaql.com/u/Edward_kwnwi,خير الدين بن عودة م.,مهندس برمجيات,2026-04-27T00:00:00,منذ دقيقة,0.0,7.0,0.0,0.0,0.0,100.0,100.0,0.0,33.33,1.0,ساعتين و 54 دقيقة,174.0,"[""برمجة أندرويد"", ""برمجة تطبيقات أيفون"", ""تطوير البرمجيات"", ""برمجة iOS"", ""تطوير الويب"", ""تطوير التطبيقات""]",6.0,65.5,"برمجة أندرويد, برمجة تطبيقات أيفون, تطوير البرمجيات, برمجة iOS, تطوير الويب, تطوير التطبيقات",2026-04-27T00:00:00
54,https://mostaql.com/u/abdelmaksoud97,Mohamed A.,مطور Full Stack,2025-11-22T00:00:00,منذ دقيقة,1.0,5.0,0.0,0.0,0.0,100.0,100.0,0.0,33.33,1.0,ساعة و 7 دقائق,67.0,"[""Front End"", ""Back End"", ""Redux"", ""React"", ""SQL"", ""PostgreSQL"", ""node.js"", ""Express JS"", ""تصميم صفحات الهبوط"", ""React Native"", ""Next.js""]",11.0,65.5,"Front End, Back End, Redux, React, SQL, PostgreSQL, node.js, Express JS, تصميم صفحات الهبوط, React Native, Next.js",2025-11-22T00:00:00
55,https://mostaql.com/u/shaza_hamdy011,Shaza H.,مطور Full Stack,2025-11-27T00:00:00,منذ دقيقة,0.0,9.0,0.0,0.0,0.0,100.0,100.0,0.0,33.33,1.0,4 ساعات و 10 دقائق,250.0,"[""node.js"", ""React"", ""html5"", ""Tailwind CSS"", ""Front End"", ""تطوير الويب"", ""تصميم واجهة المستخدم"", ""CSS3"", ""بوتستراب 5"", ""Express JS""]",10.0,65.5,"node.js, React, html5, Tailwind CSS, Front End, تطوير الويب, تصميم واجهة المستخدم, CSS3, بوتستراب 5, Express JS",2025-11-27T00:00:00
56,https://mostaql.com/u/Ahmed_bahig,Ahmed H.,مهندس برمجيات,2026-02-03T00:00:00,منذ دقيقة,0.0,3.0,0.0,0.0,0.0,100.0,100.0,0.0,33.33,1.0,4 ساعات و 58 دقيقة,298.0,"[""CSS"", ""البحث على الإنترنت"", ""HTML"", ""جافا سكريبت"", ""هندسة البرمجيات"", ""SQLite"", ""أمن وحماية المواقع"", ""JSON"", ""إنشاء موقع إلكتروني"", ""html5""]",10.0,65.5,"CSS, البحث على الإنترنت, HTML, جافا سكريبت, هندسة البرمجيات, SQLite, أمن وحماية المواقع, JSON, إنشاء موقع إلكتروني, html5",2026-02-03T00:00:00
57,https://mostaql.com/u/yusufgamal,يوسف ج.,مهندس برمجيات,2023-05-28T00:00:00,منذ دقيقة,0.0,10.0,0.0,0.0,0.0,85.71,100.0,0.0,30.43,6.0,ساعتين و 27 دقيقة,147.0,"[""تطوير التطبيقات"", ""Restful API"", ""Front End"", ""تصميم موقع إلكتروني"", ""HTML"", ""React"", ""PHP"", ""CSS"", ""جافا سكريبت"", ""برمجة""]",10.0,65.39,"تطوير التطبيقات, Restful API, Front End, تصميم موقع إلكتروني, HTML, React, PHP, CSS, جافا سكريبت, برمجة",2023-05-28T00:00:00
58,https://mostaql.com/u/AymanWeb,Ayman M.,مطور سرفرات وووردبريس,2018-10-05T00:00:00,منذ دقيقة,0.0,6.0,0.0,0.0,0.0,84.62,77.27,11.76,27.37,22.0,4 ساعات و 59 دقيقة,299.0,"[""Zoho"", ""أدوات مشرفي المواقع"", ""أمن المعلومات"", ""إدارة الشبكات"", ""إدارة المواقع"", ""استضافة المواقع"", ""تطوير شبكات تواصل اجتماعي"", ""تطوير قاعدة بيانات"", ""DNS"", ""ووردبريس""]",10.0,65.36,"Zoho, أدوات مشرفي المواقع, أمن المعلومات, إدارة الشبكات, إدارة المواقع, استضافة المواقع, تطوير شبكات تواصل اجتماعي, تطوير قاعدة بيانات, DNS, ووردبريس",2018-10-05T00:00:00
59,https://mostaql.com/u/ae_tohamy,أحمد ا.,مهندس معماري,2022-04-22T00:00:00,منذ دقيقة,0.0,18.0,100.0,2.0,0.0,100.0,56.25,14.29,35.56,16.0,3 ساعات و 55 دقيقة,235.0,"[""أوتوكاد"", ""تصميم 3D"", ""أوتوكاد"", ""تصميم داخلي"", ""البناء المعماري"", ""تصميم منزل"", ""ريفيت"", ""تصميم معماري"", ""3ds Max"", ""تصميم معماري"", ""أوتوكاد"", ""تصميم الواجهات المعمارية"", ""تصميم ديكور"", ""تصميم ديكور"", ""تصميم داخلي"", ""تصميم فلل"", ""After Effects"", ""أدوبي بريمير""]",18.0,65.21,"أوتوكاد, تصميم 3D, أوتوكاد, تصميم داخلي, البناء المعماري, تصميم منزل, ريفيت, تصميم معماري, 3ds Max, تصميم معماري, أوتوكاد, تصميم الواجهات المعمارية, تصميم ديكور, تصميم ديكور, تصميم داخلي, تصميم فلل, After Effects, أدوبي بريمير",2022-04-22T00:00:00
60,https://mostaql.com/u/nagi14,Mohamed N.,مصمم ويب,2014-11-19T00:00:00,منذ دقيقة,0.0,0.0,41.67,9.0,0.0,100.0,50.0,100.0,14.29,2.0,3 ساعات و 39 دقيقة,219.0,"[""كتابة مقالات"", ""تطوير المدونات"", ""الكتابة الإبداعية"", ""إعادة صياغة المحتوى"", ""جوجل أدسنس"", ""التسويق عبر مواقع التواصل الاجتماعي"", ""الإعلان"", ""تصميم شعار"", ""تصميم بوسترات"", ""تصميم بنرات""]",10.0,65.14,"كتابة مقالات, تطوير المدونات, الكتابة الإبداعية, إعادة صياغة المحتوى, جوجل أدسنس, التسويق عبر مواقع التواصل الاجتماعي, الإعلان, تصميم شعار, تصميم بوسترات, تصميم بنرات",2014-11-19T00:00:00
61,https://mostaql.com/u/a7meddiab,Ahmed D.,مصمم هوية بصرية,2018-01-02T00:00:00,منذ دقيقة,2.0,23.0,0.0,0.0,0.0,100.0,80.0,0.0,35.0,5.0,4 ساعات و 57 دقيقة,297.0,"[""تصميم موقع إلكتروني"", ""تصميم شعار"", ""تصميم فيديو"", ""صناعة فيديو إعلاني"", ""After Effects"", ""التصوير الفوتوغرافي"", ""رسوم متحركة"", ""تصميم إعلان"", ""تصميم جرافيك"", ""اللغة الإنجليزية""]",10.0,65.13,"تصميم موقع إلكتروني, تصميم شعار, تصميم فيديو, صناعة فيديو إعلاني, After Effects, التصوير الفوتوغرافي, رسوم متحركة, تصميم إعلان, تصميم جرافيك, اللغة الإنجليزية",2018-01-02T00:00:00
62,https://mostaql.com/u/Husam5050,Hossam M.,محرر فيديو,2025-01-24T00:00:00,منذ دقيقة,0.0,9.0,0.0,0.0,0.0,100.0,100.0,0.0,7.41,2.0,ساعتين و 19 دقيقة,139.0,"[""الفنون البصرية"", ""إنشاء فيديو يوتيوب"", ""تصميم فيديو"", ""صناعة فيديو إعلاني"", ""مونتاج فيديو""]",5.0,65.09,"الفنون البصرية, إنشاء فيديو يوتيوب, تصميم فيديو, صناعة فيديو إعلاني, مونتاج فيديو",2025-01-24T00:00:00
63,https://mostaql.com/u/Mobadr1,Mohamed B.,مصمم مواقع وجرافيك,2023-01-04T00:00:00,منذ دقيقة,1.0,20.0,0.0,0.0,0.0,90.48,78.95,0.0,16.79,19.0,7 ساعات و 41 دقيقة,461.0,"[""تحسين محركات البحث"", ""ووكومرس"", ""ووردبريس"", ""برمجة مواقع"", ""أمن وحماية المواقع"", ""إنشاء موقع ووردبريس"", ""خدمات الويب"", ""تصميم مواقع"", ""برمجة أندرويد"", ""محسن مواقع الويب من جوجل"", ""تحسين السيو الداخلي"", ""إنشاء متجر إلكتروني"", ""إنشاء فيديو يوتيوب"", ""إنشاء صفحة هبوط"", ""تصميم بوستات سوشيال ميديا"", ""تصميم موقع إلكتروني"", ""التسويق الإلكتروني"", ""تصميم جرافيك"", ""الأمن السيبراني"", ""وايت بورد""]",20.0,65.0,"تحسين محركات البحث, ووكومرس, ووردبريس, برمجة مواقع, أمن وحماية المواقع, إنشاء موقع ووردبريس, خدمات الويب, تصميم مواقع, برمجة أندرويد, محسن مواقع الويب من جوجل, تحسين السيو الداخلي, إنشاء متجر إلكتروني, إنشاء فيديو يوتيوب, إنشاء صفحة هبوط, تصميم بوستات سوشيال ميديا, تصميم موقع إلكتروني, التسويق الإلكتروني, تصميم جرافيك, الأمن السيبراني, وايت بورد",2023-01-04T00:00:00
64,https://mostaql.com/u/muhammadhelmy,محمد ح.,محامي,2016-05-02T00:00:00,منذ دقيقة,0.0,4.0,45.0,9.0,0.0,100.0,60.0,5.56,21.74,20.0,15 ساعة و 11 دقيقة,911.0,"[""الترجمة القانونية"", ""استشارات قانونية"", ""الكتابة القانونية"", ""اللغة الإنجليزية"", ""صياغة العقود""]",5.0,64.86,"الترجمة القانونية, استشارات قانونية, الكتابة القانونية, اللغة الإنجليزية, صياغة العقود",2016-05-02T00:00:00
65,https://mostaql.com/u/kayan95,Tarek Z.,محرر فيديو,2024-10-22T00:00:00,منذ دقيقة,0.0,7.0,0.0,0.0,0.0,85.71,100.0,0.0,23.33,6.0,56 دقيقة,56.0,"[""إنتاج الفيديو"", ""كتابة المحتوى"", ""مونتاج فيديو"", ""الكتابة الإبداعية"", ""After Effects"", ""تصوير الفيديو"", ""الإعلان"", ""إنشاء فيديو يوتيوب"", ""صناعة فيديو إعلاني"", ""أدوبي بريمير""]",10.0,64.82,"إنتاج الفيديو, كتابة المحتوى, مونتاج فيديو, الكتابة الإبداعية, After Effects, تصوير الفيديو, الإعلان, إنشاء فيديو يوتيوب, صناعة فيديو إعلاني, أدوبي بريمير",2024-10-22T00:00:00
66,https://mostaql.com/u/shimaam80,Alshimaa M.,مصمم جرافيك,2024-05-02T00:00:00,منذ دقيقة,0.0,9.0,0.0,0.0,0.0,90.91,60.0,40.0,37.93,10.0,56 دقيقة,56.0,"[""إدخال بيانات"", ""Adobe Illustrator"", ""تصميم بوسترات"", ""تعديل الصور"", ""تصميم شعار"", ""تصميم دعوات"", ""تصميم جرافيك"", ""تصميم بنرات"", ""تصميم إعلان"", ""خدمة العملاء"", ""إنتاج الفيديو"", ""التصميم الإبداعي"", ""مونتاج فيديو"", ""تصميم موقع إلكتروني"", ""التسويق عبر مواقع التواصل الاجتماعي""]",15.0,64.46,"إدخال بيانات, Adobe Illustrator, تصميم بوسترات, تعديل الصور, تصميم شعار, تصميم دعوات, تصميم جرافيك, تصميم بنرات, تصميم إعلان, خدمة العملاء, إنتاج الفيديو, التصميم الإبداعي, مونتاج فيديو, تصميم موقع إلكتروني, التسويق عبر مواقع التواصل الاجتماعي",2024-05-02T00:00:00
67,https://mostaql.com/u/Midosok123,عبدالحميد ك.,مهندس برمجيات,2019-02-17T00:00:00,منذ دقيقة,1.0,8.0,0.0,0.0,0.0,100.0,100.0,0.0,16.67,1.0,3 ساعات و 8 دقائق,188.0,"[""flutter"", ""الأتمة بالذكاء الاصطناعي"", ""برمجة التطبيقات"", ""JSON"", ""ووكومرس"", ""لارافيل"", ""typescript"", ""PHP"", ""React"", ""ووردبريس"", ""برمجة مواقع""]",11.0,64.17,"flutter, الأتمة بالذكاء الاصطناعي, برمجة التطبيقات, JSON, ووكومرس, لارافيل, typescript, PHP, React, ووردبريس, برمجة مواقع",2019-02-17T00:00:00
68,https://mostaql.com/u/waad2017,وعد ا.,كاتبة ومتخصصة تسويق,2017-04-13T00:00:00,منذ دقيقة,0.0,6.0,0.0,0.0,0.0,100.0,71.43,16.67,9.72,7.0,ساعتين و 21 دقيقة,141.0,"[""التسويق الإلكتروني"", ""التسويق عبر البريد الإلكتروني"", ""التسويق عبر مواقع التواصل الاجتماعي"", ""كتابة المحتوى"", ""إدارة المبيعات"", ""التسويق عبر الفيس بوك"", ""بحث السوق"", ""بناء العلامة التجارية"", ""إعلانات ممولة"", ""اللغة العربية"", ""اللغة الإنجليزية"", ""إعادة صياغة المحتوى"", ""الكتابة الإبداعية"", ""البحث على الإنترنت"", ""التسويق عبر الإنترنت"", ""التسويق عبر محركات البحث"", ""إعلانات جوجل"", ""مايكروسوفت أوفيس"", ""مايكروسوفت إكسل"", ""كتابة مقالات""]",20.0,64.14,"التسويق الإلكتروني, التسويق عبر البريد الإلكتروني, التسويق عبر مواقع التواصل الاجتماعي, كتابة المحتوى, إدارة المبيعات, التسويق عبر الفيس بوك, بحث السوق, بناء العلامة التجارية, إعلانات ممولة, اللغة العربية, اللغة الإنجليزية, إعادة صياغة المحتوى, الكتابة الإبداعية, البحث على الإنترنت, التسويق عبر الإنترنت, التسويق عبر محركات البحث, إعلانات جوجل, مايكروسوفت أوفيس, مايكروسوفت إكسل, كتابة مقالات",2017-04-13T00:00:00
69,https://mostaql.com/u/Mazein_14,Mohamed Mazein A.,صانع محتوى,2026-05-19T00:00:00,منذ دقيقة,0.0,5.0,0.0,0.0,0.0,100.0,100.0,0.0,12.5,1.0,ساعتين و 39 دقيقة,159.0,"[""تصميم إعلان"", ""التصميم الإبداعي"", ""تصميم جرافيك"", ""تصميم شعار"", ""تعديل الصور"", ""فوتوشوب"", ""إنتاج الفيديو"", ""تحرير المحتوى"", ""تصميم موشن جرافيك"", ""كتابة المحتوى"", ""إعادة صياغة المحتوى"", ""مونتاج فيديو"", ""تصميم بنرات""]",13.0,63.83,"تصميم إعلان, التصميم الإبداعي, تصميم جرافيك, تصميم شعار, تعديل الصور, فوتوشوب, إنتاج الفيديو, تحرير المحتوى, تصميم موشن جرافيك, كتابة المحتوى, إعادة صياغة المحتوى, مونتاج فيديو, تصميم بنرات",2026-05-19T00:00:00
70,https://mostaql.com/u/Maximos_xxv,مصطفى ا.,كاتب محتوى و مونتير,2025-07-22T00:00:00,منذ دقيقة,0.0,10.0,0.0,0.0,0.0,100.0,100.0,0.0,9.09,1.0,25 دقيقة,25.0,"[""هندسة الصوت"", ""مونتاج فيديو"", ""التمثيل الصوتي"", ""كتابة مقالات متوافقة مع السيو"", ""كتابة التقارير"", ""كتابة المحتوى"", ""كتابة مقالات"", ""الترجمة"", ""كتابة سيرة ذاتية"", ""كتابة محتوى تسويقي""]",10.0,63.56,"هندسة الصوت, مونتاج فيديو, التمثيل الصوتي, كتابة مقالات متوافقة مع السيو, كتابة التقارير, كتابة المحتوى, كتابة مقالات, الترجمة, كتابة سيرة ذاتية, كتابة محتوى تسويقي",2025-07-22T00:00:00
71,https://mostaql.com/u/Ahmad__Awad,أحمد ع.,مهندس ذكاء اصطناعي,2022-02-09T00:00:00,منذ دقيقة,0.0,14.0,100.0,1.0,0.0,100.0,100.0,0.0,7.14,1.0,6 ساعات و 11 دقيقة,371.0,"[""PHP"", ""برمجة أندرويد"", ""برمجة iOS"", ""إدارة المشاريع"", ""هندسة البرمجيات"", ""اختبار البرمجيات"", ""برمجة مواقع""]",7.0,63.41,"PHP, برمجة أندرويد, برمجة iOS, إدارة المشاريع, هندسة البرمجيات, اختبار البرمجيات, برمجة مواقع",2022-02-09T00:00:00
72,https://mostaql.com/u/Naji_Atwa,Naji A.,مصمم تطبيقات ومطور,2018-11-12T00:00:00,منذ دقيقة,0.0,10.0,0.0,0.0,0.0,100.0,100.0,0.0,4.35,1.0,ساعتين و 35 دقيقة,155.0,"[""تطوير البرمجيات"", ""flutter"", ""تصميم موقع إلكتروني"", ""تصميم تطبيقات"", ""النموذج المبدئي"", ""Wireframe"", ""كتابة تجربة المستخدم"", ""adobe xd"", ""Figma"", ""تصميم صفحات الهبوط""]",10.0,63.18,"تطوير البرمجيات, flutter, تصميم موقع إلكتروني, تصميم تطبيقات, النموذج المبدئي, Wireframe, كتابة تجربة المستخدم, adobe xd, Figma, تصميم صفحات الهبوط",2018-11-12T00:00:00
73,https://mostaql.com/u/MAGDINUO,Ahmed M.,محرر فيديو,2020-06-04T00:00:00,منذ دقيقة,0.0,20.0,0.0,0.0,0.0,100.0,44.44,19.05,14.44,27.0,4 أيام و 7 ساعات,6180.0,"[""مونتاج فيديو"", ""إنتاج الفيديو"", ""تصميم فيديو"", ""التسويق بالفيديو"", ""تصميم موشن جرافيك"", ""تصميم بوسترات"", ""After Effects"", ""Adobe Illustrator"", ""فوتوشوب"", ""أدوبي بريمير""]",10.0,63.18,"مونتاج فيديو, إنتاج الفيديو, تصميم فيديو, التسويق بالفيديو, تصميم موشن جرافيك, تصميم بوسترات, After Effects, Adobe Illustrator, فوتوشوب, أدوبي بريمير",2020-06-04T00:00:00
